Gastag;Stand;VHP_IND;VHP_PLUS;VHP_MINUS;REVK_MIN;REEK_MAX;TRANS_EK;TRANS_VK;AE_NEG;AE_POS
19.10.2015;18.10.2015 23:38;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
18.10.2015;18.10.2015 23:38;1,8156;1,8519;1,7793;1,6575;0;0;0;1,6575;1,8519
17.10.2015;18.10.2015 23:37;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 23:06;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
18.10.2015;18.10.2015 23:05;1,8156;1,8519;1,7793;1,6575;0;0;0;1,6575;1,8519
19.10.2015;18.10.2015 23:05;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
17.10.2015;18.10.2015 23:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 22:36;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
18.10.2015;18.10.2015 22:36;1,8155;1,8518;1,7792;1,6575;0;0;0;1,6575;1,8518
19.10.2015;18.10.2015 22:35;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
17.10.2015;18.10.2015 22:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 22:06;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
17.10.2015;18.10.2015 22:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 22:05;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
18.10.2015;18.10.2015 22:05;1,8155;1,8518;1,7792;1,6575;0;0;0;1,6575;1,8518
18.10.2015;18.10.2015 21:36;1,8155;1,8518;1,7792;1,6575;0;0;0;1,6575;1,8518
19.10.2015;18.10.2015 21:36;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
17.10.2015;18.10.2015 21:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 21:35;1,8313;1,8679;1,7947;0;0;0;0;1,7947;1,8679
17.10.2015;18.10.2015 21:06;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 21:06;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
19.10.2015;18.10.2015 21:05;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
18.10.2015;18.10.2015 21:05;1,8156;1,8519;1,7793;1,6575;0;0;0;1,6575;1,8519
18.10.2015;18.10.2015 20:36;1,8156;1,8519;1,7793;1,6575;0;0;0;1,6575;1,8519
19.10.2015;18.10.2015 20:36;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
19.10.2015;18.10.2015 20:35;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
17.10.2015;18.10.2015 20:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 20:06;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
18.10.2015;18.10.2015 20:06;1,8156;1,8519;1,7793;1,6575;0;0;0;1,6575;1,8519
17.10.2015;18.10.2015 20:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 20:05;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
19.10.2015;18.10.2015 19:36;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
17.10.2015;18.10.2015 19:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 19:35;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
18.10.2015;18.10.2015 19:35;1,8157;1,852;1,7794;1,6575;0;0;0;1,6575;1,852
19.10.2015;18.10.2015 19:06;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
17.10.2015;18.10.2015 19:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 19:05;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
18.10.2015;18.10.2015 19:05;1,8158;1,8521;1,7795;1,6575;0;0;0;1,6575;1,8521
18.10.2015;18.10.2015 18:36;1,8158;1,8521;1,7795;1,6575;0;0;0;1,6575;1,8521
19.10.2015;18.10.2015 18:36;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
17.10.2015;18.10.2015 18:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 18:35;1,8328;1,8695;1,7961;0;0;0;0;1,7961;1,8695
17.10.2015;18.10.2015 18:07;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 18:07;1,8332;1,8699;1,7965;0;0;0;0;1,7965;1,8699
18.10.2015;18.10.2015 18:05;1,8158;1,8521;1,7795;1,6575;0;0;0;1,6575;1,8521
19.10.2015;18.10.2015 18:05;1,8332;1,8699;1,7965;0;0;0;0;1,7965;1,8699
19.10.2015;18.10.2015 17:36;1,8337;1,8704;1,797;0;0;0;0;1,797;1,8704
17.10.2015;18.10.2015 17:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 17:35;1,8337;1,8704;1,797;0;0;0;0;1,797;1,8704
18.10.2015;18.10.2015 17:35;1,8158;1,8521;1,7795;1,6575;0;0;0;1,6575;1,8521
19.10.2015;18.10.2015 17:06;1,8337;1,8704;1,797;0;0;0;0;1,797;1,8704
18.10.2015;18.10.2015 17:05;1,8158;1,8521;1,7795;1,6575;0;0;0;1,6575;1,8521
19.10.2015;18.10.2015 17:05;1,8337;1,8704;1,797;0;0;0;0;1,797;1,8704
17.10.2015;18.10.2015 17:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 16:36;1,8337;1,8704;1,797;0;0;0;0;1,797;1,8704
18.10.2015;18.10.2015 16:36;1,8158;1,8521;1,7795;1,6575;0;0;0;1,6575;1,8521
19.10.2015;18.10.2015 16:35;1,8337;1,8704;1,797;0;0;0;0;1,797;1,8704
17.10.2015;18.10.2015 16:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;18.10.2015 16:26;1,8236;1,8601;1,7871;1,6575;0;0;0;1,6575;1,8601
18.10.2015;18.10.2015 16:06;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 16:06;1,8334;1,8701;1,7967;0;0;0;0;1,7967;1,8701
17.10.2015;18.10.2015 16:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 16:05;1,8334;1,8701;1,7967;0;0;0;0;1,7967;1,8701
19.10.2015;18.10.2015 15:36;1,8327;1,8694;1,796;0;0;0;0;1,796;1,8694
18.10.2015;18.10.2015 15:35;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 15:35;1,8327;1,8694;1,796;0;0;0;0;1,796;1,8694
17.10.2015;18.10.2015 15:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 15:06;1,8324;1,869;1,7958;0;0;0;0;1,7958;1,869
17.10.2015;18.10.2015 15:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 15:05;1,8324;1,869;1,7958;0;0;0;0;1,7958;1,869
18.10.2015;18.10.2015 15:05;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 14:36;1,832;1,8686;1,7954;0;0;0;0;1,7954;1,8686
18.10.2015;18.10.2015 14:35;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 14:35;1,832;1,8686;1,7954;0;0;0;0;1,7954;1,8686
17.10.2015;18.10.2015 14:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
17.10.2015;18.10.2015 14:06;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 14:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 14:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 14:05;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 13:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 13:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 13:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 13:35;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 13:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 13:05;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
17.10.2015;18.10.2015 13:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 13:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 12:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 12:35;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 12:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 12:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;18.10.2015 12:06;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 12:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 12:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 12:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 11:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 11:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 11:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;18.10.2015 11:35;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 11:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 11:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 11:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 11:05;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
17.10.2015;18.10.2015 10:36;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 10:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 10:35;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 10:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 10:07;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 10:06;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 10:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 10:06;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;18.10.2015 09:36;1,8236;1,8601;1,7871;1,715;0;0;0;1,715;1,8601
19.10.2015;18.10.2015 09:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 09:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 09:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 09:07;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 09:06;1,8247;1,8612;1,7882;1,715;0;0;0;1,715;1,8612
19.10.2015;18.10.2015 09:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 09:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 09:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 08:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 08:36;1,8266;1,8631;1,7901;1,715;0;0;0;1,715;1,8631
19.10.2015;18.10.2015 08:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 08:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 08:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 08:05;1,8266;1,8631;1,7901;1,715;0;0;0;1,715;1,8631
19.10.2015;18.10.2015 08:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 08:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 07:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 07:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 07:35;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
17.10.2015;18.10.2015 07:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
17.10.2015;18.10.2015 07:06;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 07:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 07:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 07:05;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 06:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 06:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 06:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 06:35;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 06:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 06:05;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 06:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 06:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 06:00;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 05:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
19.10.2015;18.10.2015 05:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 05:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;18.10.2015 05:35;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 05:06;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 05:05;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 05:05;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 05:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 04:36;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
17.10.2015;18.10.2015 04:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 04:35;1,8318;1,8684;1,7952;0;0;0;0;1,7952;1,8684
18.10.2015;18.10.2015 04:35;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 04:06;1,8333;1,87;1,7966;0;0;0;0;1,7966;1,87
18.10.2015;18.10.2015 04:05;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 04:05;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
17.10.2015;18.10.2015 04:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 03:36;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
18.10.2015;18.10.2015 03:35;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 03:35;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
17.10.2015;18.10.2015 03:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;18.10.2015 03:06;1,8269;1,8634;1,7904;1,715;0;0;0;1,715;1,8634
19.10.2015;18.10.2015 03:06;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
17.10.2015;18.10.2015 03:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 03:05;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
18.10.2015;18.10.2015 02:41;1,8357;1,8724;1,799;1,715;0;0;0;1,715;1,8724
19.10.2015;18.10.2015 02:36;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
18.10.2015;18.10.2015 02:35;1,8357;1,8724;1,799;0;0;0;0;1,799;1,8724
19.10.2015;18.10.2015 02:35;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
17.10.2015;18.10.2015 02:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 02:06;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
17.10.2015;18.10.2015 02:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 02:05;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
18.10.2015;18.10.2015 02:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;18.10.2015 01:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
19.10.2015;18.10.2015 01:36;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
17.10.2015;18.10.2015 01:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 01:35;1,8511;1,8881;1,8141;0;0;0;0;1,8141;1,8881
19.10.2015;18.10.2015 01:06;1,8522;1,8892;1,8152;0;0;0;0;1,8152;1,8892
17.10.2015;18.10.2015 01:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 01:05;1,8522;1,8892;1,8152;0;0;0;0;1,8152;1,8892
18.10.2015;18.10.2015 01:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;18.10.2015 00:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
19.10.2015;18.10.2015 00:36;1,8522;1,8892;1,8152;0;0;0;0;1,8152;1,8892
19.10.2015;18.10.2015 00:35;1,8522;1,8892;1,8152;0;0;0;0;1,8152;1,8892
17.10.2015;18.10.2015 00:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
17.10.2015;18.10.2015 00:07;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
19.10.2015;18.10.2015 00:07;1,8522;1,8892;1,8152;0;0;0;0;1,8152;1,8892
19.10.2015;18.10.2015 00:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;18.10.2015 00:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 23:36;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 23:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 23:35;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;17.10.2015 23:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 23:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 23:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 23:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 23:05;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
17.10.2015;17.10.2015 22:36;1,818;1,8544;1,7816;1,6175;0;0;0;1,6175;1,8544
18.10.2015;17.10.2015 22:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 22:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 22:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
16.10.2015;17.10.2015 22:06;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 22:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 22:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 22:05;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
17.10.2015;17.10.2015 21:36;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
18.10.2015;17.10.2015 21:36;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
18.10.2015;17.10.2015 21:35;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 21:35;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 21:06;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
16.10.2015;17.10.2015 21:05;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
18.10.2015;17.10.2015 21:05;1,838;1,8748;1,8012;0;0;0;0;1,8012;1,8748
17.10.2015;17.10.2015 21:05;1,8192;1,8556;1,7828;1,6175;0;0;0;1,6175;1,8556
16.10.2015;17.10.2015 20:36;1,8616;1,8988;1,8244;0;0;0;0;1,8244;1,8988
